Noah Vonleh,Power Forward,-,7,"1,836,090",-,1.6,#VALUE!,YES,Role Player
Goran Dragic,Point Guard,-,14,"1,836,090",6.3,9.1,291442.8571,YES,Role Player
Jalen McDaniels,Small Forward,-,3,"1,930,681",5.8,6.1,332876.0345,NO,Role Player
Saddiq Bey,Small Forward,-,2,"2,959,080",5.6,4.2,528407.1429,NO,Role Player
Tony Bradley,Center,-,5,"2,036,318",4.5,1,452515.1111,NO,Role Player
Trent Forrest,Point Guard,-,2,,4.5,,,,
Sterling Brown,Shooting Guard,-,5,,3.2,,0,NO,
Nerlens Noel,Center,-,8,"9,240,000",2.6,-2,3553846.154,YES,Role Player
Moses Brown,Center,-,3,,2.3,,0,NO,
Facundo Campazzo,Point Guard,-,2,,1.7,,,,
Jarrett Culver,Shooting Guard,-,3,,1.6,,,,
Justin Jackson,Small Forward,-,5,"1,836,090",-0.6,-2.3,-3060150,YES,Benchwarmer
AJ Griffin,Small Forward,Atlanta Hawks,0,"3,536,160",-,6.3,#VALUE!,YES,Ok Prospect
Tyrese Martin,Shooting Guard,Atlanta Hawks,0,"1,017,781",-,0.9,#VALUE!,YES,Marginal Prospect
Trae Young,Point Guard,Atlanta Hawks,4,"37,096,500",24.2,21.7,1532913.223,NO,Future All-Star
Dejounte Murray,Shooting Guard,Atlanta Hawks,5,"16,571,120",20.3,16.8,816311.33,NO,Borderline All-Star
Clint Capela,Center,Atlanta Hawks,8,"18,706,896",14.6,13.3,1281294.247,NO,Borderline All-Star
Bogdan Bogdanovic,Shooting Guard,Atlanta Hawks,5,"18,000,000",14.1,9.6,1276595.745,NO,Key Roleplayer
John Collins,Power Forward,Atlanta Hawks,5,"23,500,000",14.1,11.8,1666666.667,NO,Good Starter
Onyeka Okongwu,Center,Atlanta Hawks,2,"6,395,160",11.1,8,576140.5405,NO,Key Roleplayer
De'Andre Hunter,Small Forward,Atlanta Hawks,3,"9,835,881",8.4,10.4,1170938.214,NO,Rotation Player
Saddiq Bey,Small Forward,Atlanta Hawks,2,"2,959,080",5.6,4.2,528407.1429,NO,Project
Aaron Holiday,Point Guard,Atlanta Hawks,4,"1,836,090",4.4,3.4,417293.1818,NO,Rotation Player
Garrison Matthews,Shooting Guard,Atlanta Hawks,3,"2,000,000",3.8,1.9,526315.7895,NO,Key Roleplayer
Bruno Fernando,Center,Atlanta Hawks,3,"2,717,391",1.3,1.7,2090300.769,YES,Project
Jalen Johnson,Small Forward,Atlanta Hawks,1,"2,792,640",0.6,2.8,4654400,YES,Project
Vit Krejci,Point Guard,Atlanta Hawks,1,"1,563,518",-1.1,0.9,-1421380,YES,Project
Jayson Tatum,Power Forward,Boston Celtics,5,"30,351,780",28.2,29.4,1076304.255,NO,All-Star
Jaylen Brown,Small Forward,Boston Celtics,6,"28,741,071",22.7,22.3,1266126.476,NO,Borderline All-Star
Robert Williams,Center,Boston Celtics,4,"10,937,502",19.7,17.1,555203.1472,NO,Key Roleplayer
Marcus Smart,Point Guard,Boston Celtics,8,"17,207,142",16.9,14.7,1018174.083,NO,Borderline All-Star
Danilo Gallinari,Small Forward,Boston Celtics,13,"6,479,000",10.5,-,617047.619,NO,Rotation Player
Grant Williams,Power Forward,Boston Celtics,3,"4,306,281",8.1,11.4,531639.6296,NO,Rotation Player
Mike Muscala,Center,Boston Celtics,9,"3,500,000",6.8,8.6,514705.8824,YES,Rotation Player
Payton Pritchard,Point Guard,Boston Celtics,2,"2,239,200",5.9,2.9,379525.4237,NO,Rotation Player
Blake Griffin,Center,Boston Celtics,12,"1,836,090",4,5.3,459022.5,NO,Rotation Player
Sam Hauser,Power Forward,Boston Celtics,1,"1,637,966",2.1,6.8,779983.8095,YES,¯\_(ツ)_/¯
Al Horford,Center,Boston Cetlics,15,"26,500,000",16.6,14,1596385.542,NO,Key Roleplayer
Luke Kornet,Center,Boston Cetlics,5,"2,133,278",3.9,5.2,546994.359,YES,Rotation Player
Malcolm Brogdan,Point Guard,Boston Cetlics ,6,"22,600,000",15.1,14.2,1496688.742,YES,Rotation Player
Derrick White,Shooting Guard,Boston Cetltics,5,"16,892,857",13.6,14.5,1242121.838,NO,Borderline All-Star
Ben Simmons,Point Guard,Brooklyn Nets,4,"35,448,672",-,10,#VALUE!,YES,Key Roleplayer
Edmond Sumner,Shooting Guard,Brooklyn Nets,4,"1,968,175",-,5.2,#VALUE!,YES,Scrub
Mikal Bridges ,Small Forward,Brooklyn Nets,4,"20,100,000",19.1,13.6,1052356.021,NO,Borderline All-Star
Seth Curry,Shooting Guard,Brooklyn Nets,8,"8,496,653",14,6.8,606903.7857,NO,Rotation Player
Cameron Johnson ,Power Forward,Brooklyn Nets,3,"5,887,899",13.1,14.9,449457.9389,NO,Key Roleplayer
Dorian Finney-Smith,Power Forward,Brooklyn Nets,6,"12,402,000",12.3,8.7,1008292.683,NO,Good Starter
Royce O'Neale,Small Forward,Brooklyn Nets,5,"9,200,000",10.2,9.7,901960.7843,NO,Average Starter
Spencer Dinwiddie,Point Guard,Brooklyn Nets,8,"20,171,427",10.2,11.6,1977590.882,NO,Rotation Player
Patty Mills,Point Guard,Brooklyn Nets,13,"6,479,000",9.1,2.6,711978.022,NO,Rotation Player
Joe Harris,Shooting Guard,Brooklyn Nets,8,"18,642,857",8.5,6.5,2193277.294,YES,Scrub
Nicolas Claxton,Center,Brooklyn Nets,3,"8,500,000",7.9,14.6,1075949.367,NO,Rotation Player
Day'Ron Sharpe,Center,Brooklyn Nets,1,"2,109,480",7.4,1.3,285064.8649,YES,Up-And-Comer
Cam Thomas,Shooting Guard,Brooklyn Nets,1,"2,138,160",3.3,9,647927.2727,NO,Project
Yuta Watanabe,Small Forward,Brooklyn Nets,4,"1,836,090",1.8,6,1020050,YES,Scrub
Bryce McGowens,Shooting Guard,Charlotte Hornets,0,"1,836,090",-,0.1,#VALUE!,YES,Marginal Prospect
Mark Williams ,Center,Charlotte Hornets,0,"3,722,040",-,4.7,#VALUE!,YES,Good Prospect
LaMelo Ball,Point Guard,Charlotte Hornets,2,"8,623,920",17.6,11.3,489995.4545,NO,MVP Candiate
Terry Rozier,Shooting Guard,Charlotte Hornets,7,"21,486,316",16,10.6,1342894.75,NO,Borderline All-Star
Gordon Hayward,Small Forward,Charlotte Hornets,12,"30,075,000",11.9,6.9,2527310.924,NO,Rotation Player
P.J. Washington,Power Forward,Charlotte Hornets,3,"5,808,435",11.1,3,523282.4324,NO,Rotation Player
Kelly Oubre Jr.,Small Forward,Charlotte Hornets,7,"12,600,000",9.6,5.8,1312500,NO,Rotation Player
Cody Martin,Small Forward,Charlotte Hornets,3,"7,000,000",7.5,0.5,933333.3333,NO,Key Roleplayer
Dennis Smith Jr.,Point Guard,Charlotte Hornets,5,"1,836,090",1.8,5.2,1020050,YES,Rotation Player
JT Thor,Power Forward,Charlotte Hornets,1,"1,563,518",1.6,0.5,977198.75,YES,Project
Svi Mykhailiuk,Small Forward,Charlotte Hornets,4,"1,836,090",1.6,2.8,1147556.25,YES,Scrub
James Bouknight,Shooting Guard,Charlotte Hornets,1,"4,362,240",1.1,1.4,3965672.727,YES,Rotation Player
Nick Richards,Center,Charlotte Hornets,2,"1,782,621",0.4,6.7,4456552.5,NO,Scrub
Kai Jones,Center,Charlotte Hornets,1,"2,909,040",0,3,#DIV/0!,YES,Marginal Prospect
Dalen Terry,Shooting Guard,Chicago Bulls,0,"3,191,400",-,0.8,#VALUE!,YES,Ok Prospect
DeMar DeRozan,Small Forward,Chicago Bulls,13,"27,300,000",21.5,19.9,1269767.442,NO,Average Starter
Zach LaVine,Shooting Guard,Chicago Bulls,8,"37,096,500",16.9,11.6,2195059.172,NO,Average Starter
Lonzo Ball,Point Guard,Chicago Bulls,5,"19,534,884",14.1,-,1385452.766,YES,Borderline All-Star
Nikola Vucevic,Center,Chicago Bulls,11,"22,000,000",13.8,13.2,1594202.899,NO,Average Starter
Patrick Beverley ,Point Guard,Chicago Bulls,10,"13,000,000",11,3.2,1181818.182,NO,Key Roleplayer
Alex Caruso,Point Guard,Chicago Bulls,5,"9,030,000",10.3,10.6,876699.0291,NO,Borderline All-Star
Andre Drummond,Center,Chicago Bulls,10,"3,200,000",9.6,7.8,333333.3333,NO,Key Roleplayer
Coby White,Shooting Guard,Chicago Bulls,3,"7,413,955",8,6.6,926744.375,NO,Rotation Player
Javonte Green,Shooting Guard,Chicago Bulls,3,"1,815,677",7.5,8.2,242090.2667,NO,Rotation Player
Derrick Jones Jr.,Small Forward,Chicago Bulls,6,"3,200,000",5.8,6.1,551724.1379,NO,Rotation Player
Ayo Dosunmu,Shooting Guard,Chicago Bulls,1,"1,563,518",4.6,3.1,339895.2174,NO,Rotation Player
Patrick Williams,Power Forward,Chicago Bulls,2,"7,775,400",4,3,1943850,YES,Project
Marko Simonovic,Center,Chicago Bulls,1,"1,563,518",1.3,-8.7,1202706.154,YES,Ok Prospect
Darius Garland,Point Guard,Cleveland Cavaliers,3,"8,920,795",22.4,19.4,398249.7768,NO,All-Star
Donovan Mitchell,Shooting Guard,Cleveland Cavaliers,5,"30,351,780",21.9,24.3,1385926.027,NO,Borderline All-Star
Jarrett Allen,Center,Cleveland Cavaliers,5,"20,000,000",18.9,18.7,1058201.058,NO,Borderline All-Star
Ricky Rubio,Point Guard,Cleveland Cavaliers,11,"5,853,659",15.7,-,372844.5223,YES,Rotation Player
Evan Mobley,Power Forward,Cleveland Cavaliers,1,"8,478,720",14.1,12.9,601327.6596,NO,Up-And-Comer
Caris LeVert,Shooting Guard,Cleveland Cavaliers,6,"18,796,296",10.7,12.9,1756663.178,NO,Rotation Player
Isaac Okoro,Small Forward,Cleveland Cavaliers,2,"7,040,880",8.5,3.7,828338.8235,NO,Average Starter
Cedi Osman,Small Forward,Cleveland Cavaliers,5,"7,426,088",6.3,12.6,1178744.127,NO,Scrub
Danny Green ,Shooting Guard,Cleveland Cavaliers,13,"10,000,000",6,,1666666.667,YES,Scrappy Veteran
Dean Wade,Power Forward,Cleveland Cavaliers,3,"1,930,681",5.2,10.1,371284.8077,NO,Rotation Player
Raul Neto,Point Guard,Cleveland Cavaliers,7,"1,836,090",4.7,3.3,390657.4468,NO,Rotation Player
Lamar Stevens,Power Forward,Cleveland Cavaliers,2,"1,782,621",3.6,2.5,495172.5,NO,Scrub
Robin Lopez,Center,Cleveland Cavaliers,14,"1,836,090",3.6,2.8,510025,YES,Scrub
Dylan Windler,Small Forward,Cleveland Cavaliers,2,"4,037,278",1.7,-,2374869.412,NO,Rotation Player
Jaden Hardy,Shooting Guard,Dallas Mavericks,0,"1,017,781",-,-0.3,#VALUE!,YES,Marginal Prospect
Kyrie Irving,Point Guard,Dallas Mavericks,11,"36,934,550",24.3,18.5,1519940.329,YES,Borderline All-Star
Luka Doncic,Point Guard,Dallas Mavericks,4,"37,096,500",24,30.7,1545687.5,NO,MVP Candiate
Tim Hardaway Jr,Shooting Guard,Dallas Mavericks,9,"19,602,273",10.2,8.6,1921791.471,NO,Rotation Player
Reggie Bullock,Small Forward,Dallas Mavericks,9,"10,012,800",10,0.4,1001280,NO,Rotation Player
Javale McGee,Center,Dallas Mavericks,14,"5,461,219",9.8,0.9,557267.2449,NO,Scrappy Veteran
Dwight Powell,Center,Dallas Mavericks,8,"11,080,125",9.3,8.5,1191411.29,NO,Rotation Player
Christian Wood,Center,Dallas Mavericks,6,"14,317,459",8.6,12.5,1664820.814,NO,Rotation Player
Maxi Kleber,Center,Dallas Mavericks,5,"9,000,000",8.1,5.1,1111111.111,NO,Rotation Player
Markieff Morris,Power Forward,Dallas Mavericks,11,"1,836,090",5.8,4.9,316567.2414,YES,Scrub
Josh Green,Shooting Guard,Dallas Mavericks,2,"3,098,400",5.1,9.3,607529.4118,NO,Rotation Player
Frank Ntilikina,Point Guard,Dallas Mavericks,5,"2,036,318",4,4.6,509079.5,NO,Rotation Player
Davis Bertans,Power Forward,Dallas Mavericks,6,"16,000,000",3.9,3.8,4102564.103,NO,Rotation Player
Justin Holiday ,Shooting Guard,Dallas Mavericks,9,"6,292,440",3.8,0.1,1655905.263,NO,Rotation Player
Theo Pinson,Shooting Guard,Dallas Mavericks,4,"1,836,090",0,3.5,#DIV/0!,YES,Scrub
Christian Braun,Shooting Guard,Denver Nuggets,0,"2,808,600",-,-0.5,#VALUE!,YES,Ok Prospect
Peyton Watson,Shooting Guard,Denver Nuggets,0,"2,193,960",-,-2.8,#VALUE!,YES,Ok Prospect
Michael Porter Jr.,Small Forward,Denver Nuggets,3,"30,913,750",12.7,15.6,2434153.543,YES,Up-And-Comer
Reggie Jackson ,Point Guard,Denver Nuggets,11,"11,215,260",9.2,,1219050,NO,Rotation Player
Jeff Green,Power Forward,Denver Nuggets,14,"4,500,000",8.3,2.6,542168.6747,NO,Way Past His Prime
Bruce Brown,Shooting Guard,Denver Nuggets,4,"6,479,000",7.9,9.2,820126.5823,NO,Rotation Player
Kentavious Caldwell-Pope,Shooting Guard,Denver Nuggets,9,"14,004,703",6.3,15.6,2222968.73,NO,Rotation Player
Zeke Nnaji,Power Forward,Denver Nuggets,2,"2,617,800",4.2,-0.7,623285.7143,NO,Project
Vlatko Cancar,Power Forward,Denver Nuggets,3,"2,234,359",3.7,3.9,603880.8108,YES,Scrub
Thomas Bryant,Center,Denver Nuggets,5,"1,836,090",3.5,10.2,524597.1429,YES,Scrub
Ish Smith,Point Guard,Denver Nuggets,12,"4,725,000",3,3.2,1575000,NO,Scrub
DeAndre Jordan,Center,Denver Nuggets,14,"1,836,090",1.8,4.9,1020050,NO,Scrub
Jamal Murray,Point Guard,Denver Nuggets ,5,"31,650,600",-,17.6,#VALUE!,YES,Key Roleplayer
Nikola Jokic,Center,Denver Nuggets ,7,"33,047,803",32.3,32.4,1023151.796,NO,MVP Candiate
Aaron Gordon,Power Forward,Denver Nuggets ,8,"19,690,909",16.1,21.7,1223037.826,NO,Average Starter
Jaden Ivey,Shooting Guard,Detroit Pistons,0,"7,252,200",-,4.6,#VALUE!,YES,Good Prospect
Jalen Duren,Center,Detroit Pistons,0,"4,124,280",-,2.9,#VALUE!,YES,Good Prospect
James Wiseman,Center,Detroit Pistons,1,"9,603,360",-,1.1,#VALUE!,YES,Defensive Specialist
Bojan Bogdanovic,Power Forward,Detroit Pistons,8,"19,550,000",15,8.4,1303333.333,NO,Scrub
Alec Burks,Shooting Guard,Detroit Pistons,11,"10,012,800",10.9,9.8,918605.5046,NO,Key Roleplayer
Cade Cunningham,Point Guard,Detroit Pistons,1,"10,552,800",7,-,1507542.857,YES,Future All-Star
Marvin Bagley III,Center,Detroit Pistons,4,"12,500,000",6.2,3.3,2016129.032,YES,Rotation Player
Hamidou Diallo,Shooting Guard,Detroit Pistons,4,"5,200,000",4.7,3.1,1106382.979,NO,Rotation Player
Isaiah Livers,Power Forward,Detroit Pistons,1,"1,563,518",4.7,-1.9,332663.4043,YES,Project
Cory Joseph ,Point Guard,Detroit Pistons,11,5155500,3.7,3.4,1393378.378,NO,Rotation Player
Rodney McGruder,Shooting Guard,Detroit Pistons,6,"1,836,090",3,3.8,612030,YES,Scrub
Isaiah Stewart,Center,Detroit Pistons,2,"3,433,320",2.9,5.1,1183903.448,NO,Defensive Specialist
Killian Hayes,Point Guard,Detroit Pistons,2,"5,837,760",0.2,-0.5,29188800,NO,Project
R.J. Hampton,Point Guard,Detroit Pistons,2,"2,412,840",-1.4,2.5,-1723457.143,NO,Project
Patrick Baldwin Jr.,Small Forward,Golden State Warriors,0,"2,226,000",-,0.7,#VALUE!,YES,Marginal Prospect
Ryan Rollins,Point Guard,Golden State Warriors,0,"1,017,781",-,-3.7,#VALUE!,YES,Ok Prospect
Steph Curry,Point Guard,Golden State Warriors,13,"45,780,966",26.9,33.7,1701894.647,NO,All-Star
Jordan Poole ,Point Guard,Golden State Warriors,3,"3,901,399",16.8,10.3,232226.131,NO,Up-And-Comer
Andrew Wiggins ,Small Forward,Golden State Warriors,8,"33,616,770",15.8,15.7,2127643.671,NO,Average Starter
Klay Thompson ,Shooting Guard,Golden State Warriors,9,"40,600,080",15,15.2,2706672,NO,Rotation Player
Draymond Green ,Power Forward,Golden State Warriors,10,"25,806,468",13.9,13.5,1856580.432,NO,Key Roleplayer
Gary Payton II ,Point Guard,Golden State Warriors,6,"8,300,000",9.6,-,864583.3333,NO,Key Roleplayer
Kevon Looney ,Center,Golden State Warriors,7,"8,000,000",9.4,9.8,851063.8298,NO,Key Roleplayer
